TID;ALDER;KØN;INDHOLD
2020K4;0 år;Mænd;31397
2020K4;0 år;Kvinder;29984
2020K4;1 år;Mænd;31786
2020K4;1 år;Kvinder;29864
2020K4;2 år;Mænd;32024
2020K4;2 år;Kvinder;30508
2020K4;3 år;Mænd;31816
2020K4;3 år;Kvinder;30112
2020K4;4 år;Mænd;32256
2020K4;4 år;Kvinder;30341
2020K4;5 år;Mænd;30340
2020K4;5 år;Kvinder;28792
2020K4;6 år;Mænd;30049
2020K4;6 år;Kvinder;28479
2020K4;7 år;Mænd;30441
2020K4;7 år;Kvinder;28913
2020K4;8 år;Mænd;31125
2020K4;8 år;Kvinder;29461
2020K4;9 år;Mænd;32337
2020K4;9 år;Kvinder;31105
2020K4;10 år;Mænd;34253
2020K4;10 år;Kvinder;32389
2020K4;11 år;Mænd;34471
2020K4;11 år;Kvinder;32513
2020K4;12 år;Mænd;35522
2020K4;12 år;Kvinder;33541
2020K4;13 år;Mænd;34532
2020K4;13 år;Kvinder;32931
2020K4;14 år;Mænd;35074
2020K4;14 år;Kvinder;33427
2020K4;15 år;Mænd;34847
2020K4;15 år;Kvinder;33263
2020K4;16 år;Mænd;34686
2020K4;16 år;Kvinder;33373
2020K4;17 år;Mænd;34800
2020K4;17 år;Kvinder;32936
2020K4;18 år;Mænd;34645
2020K4;18 år;Kvinder;33254
2020K4;19 år;Mænd;36134
2020K4;19 år;Kvinder;34262
2020K4;20 år;Mænd;36821
2020K4;20 år;Kvinder;35300
2020K4;21 år;Mænd;37452
2020K4;21 år;Kvinder;36079
2020K4;22 år;Mænd;38090
2020K4;22 år;Kvinder;36380
2020K4;23 år;Mænd;40000
2020K4;23 år;Kvinder;38645
2020K4;24 år;Mænd;40220
2020K4;24 år;Kvinder;38296
2020K4;25 år;Mænd;42021
2020K4;25 år;Kvinder;40483
2020K4;26 år;Mænd;40934
2020K4;26 år;Kvinder;39532
2020K4;27 år;Mænd;41157
2020K4;27 år;Kvinder;39494
2020K4;28 år;Mænd;40971
2020K4;28 år;Kvinder;39226
2020K4;29 år;Mænd;39906
2020K4;29 år;Kvinder;38472
2020K4;30 år;Mænd;39662
2020K4;30 år;Kvinder;38114
2020K4;31 år;Mænd;38313
2020K4;31 år;Kvinder;37226
2020K4;32 år;Mænd;37228
2020K4;32 år;Kvinder;35527
2020K4;33 år;Mænd;36062
2020K4;33 år;Kvinder;34443
2020K4;34 år;Mænd;35411
2020K4;34 år;Kvinder;33881
2020K4;35 år;Mænd;34135
2020K4;35 år;Kvinder;33266
2020K4;36 år;Mænd;33078
2020K4;36 år;Kvinder;32183
2020K4;37 år;Mænd;32692
2020K4;37 år;Kvinder;31647
2020K4;38 år;Mænd;32771
2020K4;38 år;Kvinder;32322
2020K4;39 år;Mænd;32879
